node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
ORC1L	RAD1	990384	987003	ENSP00000360621	ENSP00000340879	0.000	0.000	0.000	0.000	0.000	0.580	0.000	0.000	0.579
NGF	PIK3R1	989928	980292	ENSP00000358525	ENSP00000274335	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
ERCC3	GTF2H3	980930	976839	ENSP00000285398	ENSP00000228955	0.000	0.000	0.000	0.000	0.000	0.846	0.900	0.000	0.983
TP53	CDK7	979979	978199	ENSP00000269305	ENSP00000256443	0.000	0.000	0.000	0.000	0.000	0.846	0.000	0.000	0.845
NBN	MSH2	979610	977012	ENSP00000265433	ENSP00000233146	0.000	0.000	0.000	0.000	0.000	0.333	0.000	0.000	0.333
PIK3CB	PIK3R2	981143	976536	ENSP00000289153	ENSP00000222254	0.000	0.000	0.000	0.000	0.000	0.871	0.900	0.000	0.986
ERCC2	CHEK1	993226	980540	ENSP00000375809	ENSP00000278916	0.000	0.000	0.000	0.000	0.000	0.231	0.000	0.000	0.230
PCNA	DMC1	991950	976139	ENSP00000368438	ENSP00000216024	0.000	0.000	0.000	0.000	0.000	0.192	0.000	0.000	0.191
GTF2H3	ERCC1	976839	975751	ENSP00000228955	ENSP00000013807	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
RFC4	RPA3	981740	976606	ENSP00000296273	ENSP00000223129	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
CHEK2	TOPBP1	992579	978617	ENSP00000372023	ENSP00000260810	0.000	0.000	0.000	0.000	0.000	0.292	0.000	0.000	0.291
RPA2	BID	990895	984404	ENSP00000363021	ENSP00000318822	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.000	0.621
IKBKG	CASP8	989953	988504	ENSP00000358622	ENSP00000351273	0.000	0.000	0.000	0.000	0.000	0.620	0.900	0.000	0.959
NTRK1	PIK3R1	988539	980292	ENSP00000351486	ENSP00000274335	0.000	0.000	0.000	0.000	0.000	0.846	0.800	0.000	0.967
PIK3CA	PIK3R2	979288	976536	ENSP00000263967	ENSP00000222254	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.000	0.999
GTF2H2	GTF2H3	980301	976839	ENSP00000274400	ENSP00000228955	0.000	0.000	0.000	0.000	0.000	0.621	0.900	0.000	0.959
ERCC4	MLH1	983532	976973	ENSP00000310520	ENSP00000231790	0.000	0.000	0.000	0.000	0.000	0.387	0.000	0.000	0.386
SMG7	ATM	986988	980514	ENSP00000340766	ENSP00000278616	0.000	0.000	0.000	0.000	0.000	0.357	0.000	0.000	0.357
TNFSF10	TNFRSF10A	977287	976441	ENSP00000241261	ENSP00000221132	0.000	0.000	0.000	0.000	0.000	0.989	0.900	0.000	0.998
RAD23B	XPC	988422	980908	ENSP00000350708	ENSP00000285021	0.000	0.000	0.000	0.000	0.000	0.989	0.900	0.000	0.998
RPA1	MSH2	978067	977012	ENSP00000254719	ENSP00000233146	0.000	0.000	0.000	0.000	0.000	0.647	0.000	0.000	0.647
ORC1L	CHEK1	990384	980540	ENSP00000360621	ENSP00000278916	0.000	0.000	0.000	0.000	0.000	0.640	0.000	0.000	0.639
